kind,line,label,caption,role,supported_claim,density_risk,recommended_action,caption_check
figure,103,fig:boundary,"Operational measured boundary used in this paper. The sampler side, local physical implementation, and restart/warmup/reset timing that directly affects sampling are inside the evaluated entropy-source boundary; post-XOR FIFO buffering, UART, host capture, and offline analysis are measurement/readout elements.",timing|dataflow|result|limitation/traceability,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
figure,146,fig:workflow,"Evidence workflow. The sampler-side counterfactual is the central boundary test; the other measurements establish context, constrain mechanisms, and explain how final-output statistics can hide internal structure.",workflow|mechanism|result|ablation/control|limitation/traceability,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,174,tab:setup,Experimental platform and capture configuration.,setup/parameter,reproducibility/setup support,check narrative load,retain if text explicitly cites the supported claim,"yes, if text links it to claim"
table,220,tab:placement,Representative 10 MiB continuous-stream placement statistics. Artifact IDs preserve traceability to the experiment logs.,limitation/traceability,implementation/restart sensitivity evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
table,247,tab:sp800summary,Selected non-IID entropy-assessment summaries.,setup/parameter,supporting evidence; verify claim mapping,check narrative load,retain if text explicitly cites the supported claim,"yes, if text links it to claim"
table,267,tab:warmup,restart warmup transition. ``Flag'' means at least one fixed bit position exceeds the displayed MSB-route cutoff $X_cutoff=605$; archived LSB-route checks use $X_cutoff=632$.,timing,implementation/restart sensitivity evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,292,tab:samplero,Bidirectional sampler-side counterfactual evidence. Rows are representative run-level measurements; archive identifiers are omitted from the main table and retained in the experiment logs.,result|ablation/control,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,317,tab:counterrepeat,Archived repeat summary for the sampler-side counterfactual rows. Table~tab:samplero lists representative run-level measurements; this table summarizes all currently archived repeats for the listed condition and warmup. Min-H is the bit min-entropy computed from each row's overall $p_1$ when the source summary did not store it explicitly.,timing|result|ablation/control,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
table,337,tab:board2counter,"Repeated second-board sampler counterfactual check. Each row summarizes three 1000-row restart artifacts on the same second board; these are capture repeats under the listed condition, not additional boards or PVT points.",timing|ablation/control,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,367,tab:implsummary,Implementation traceability for representative sampler-side counterfactual bitstreams.,ablation/control|limitation/traceability,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
table,385,tab:routedaudit,Routed locality audit for sampler-side counterfactuals. Cell entries report LOC/BEL changes among common named cells. Route entries report common nets whose routed path changed.,ablation/control,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
figure,407,fig:samplerlock,Sample-RO lock schematic for the counterfactual. Only the listed sample-RO LUT assignments are the intended constraint perturbation in this comparison; implemented local routing and neighborhood effects may still vary.,ablation/control|sota comparison,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,438,tab:tdcpair,"diagnostic summary. The exact counterfactual rows use the same and sample-RO LOC/BEL assignments as the sampler-side counterfactual in Table~tab:samplero, with data\_ro0 held fixed.",timing|ablation/control,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,462,tab:tdccal,8 MiB code-density calibration boundary.,timing|limitation/traceability,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
figure,493,fig:reducedxorconstruct,"Reduced-XOR construction. The experiment compares the final all64 output, same-data-RO directions, complements that remove one direction from the final XOR, and line-direction controls that XOR across data ROs at one sampler phase.",mechanism|ablation/control,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,523,tab:reducedxor,Complete reduced-XOR warmup-10 direction map. Run02 covers all eight same-data-RO directions and all eight complements; the all64 run02 row is retained as the corresponding final-output repeat context.,timing,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,554,tab:reducedxormechanism,Reduced-XOR mechanism controls. The full-direction repeat tests run-to-run stability of the warmup-10 direction map; the second-board rows test cross-board mechanism persistence; the line-direction rows test whether warmup-10 bias is a sampler-phase row failure; the data\_ro3 warmup-neighbor rows test whether the strongest high-biased direction is unique to warmup 10.,timing|mechanism|ablation/control,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
figure,574,fig:reducedxor,Warmup-10 reduced-XOR $p_1$ values for the complete run01 direction map. The left group contains all64 followed by same-data-RO directions; the right group contains complements. Bar patterns distinguish the groups for grayscale viewing.,timing,core sampler-side entropy-boundary evidence,core or explanatory,retain in main flow,"yes, if text links it to claim"
table,636,tab:tvlsimechanism,"Additional TVLSI-track mechanism checks imported into the TIM boundary argument. These rows are used as diagnostic boundary evidence, not as calibrated physical aperture or certification claims.",mechanism|limitation/traceability,core sampler-side entropy-boundary evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
table,656,tab:toolflowmatrix,Minimal original-vs-Explore toolflow sensitivity matrix. Change in $|b|$ is signed as Explore minus original. The all64 aggregate is archived as anchor all640 in the CSV evidence.,workflow|ablation/control,traceability/control evidence,possibly too detailed for main flow,consider appendix or compress unless essential to main claim,"yes, if text links it to claim"
