"id","title","authors","year","volume","issue","pages","doi","domain","source_url","source_type","download_status","local_pdf"
"paper_01","Memristive Tabu Learning Neuron Generated Multi-Wing Attractor With FPGA Implementation and Application in Encryption","Quanli Deng; Chunhua Wang; Yichuang Sun; Zekun Deng; Gang Yang","2024","72","1","300-311","https://doi.org/10.1109/tcsi.2024.3439869","Memristive computing / chaotic encryption","https://uhra.herts.ac.uk/id/eprint/11323/1/TCAS_I_Tabu_Wing.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_01.pdf"
"paper_02","A Generalized Adjusted Min-Sum Decoder for 5G LDPC Codes: Algorithm and Implementation","Yuqing Ren; Hassan Harb; Yifei Shen; Alexios Balatsoukas-Stimming; Andreas Burg","2024","71","6","2911-2924","https://doi.org/10.1109/tcsi.2024.3368056","5G LDPC decoder / communication hardware","https://pure.tue.nl/ws/files/331786672/A_Generalized_Adjusted_Min-Sum_Decoder_for_5G_LDPC_Codes_Algorithm_and_Implementation.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_02.pdf"
"paper_03","Frequency-Transformation-Based Co-Designed Lowpass-Single/Multi-Passband-Highpass RF Filters","Roberto Gomez-Garcia; Li Yang; Mohamed Malki; Jose-Maria Munoz-Ferreras","2024","71","8","3608-3621","https://doi.org/10.1109/tcsi.2024.3382094","RF filters","https://ebuah.uah.es/dspace/bitstream/10017/65202/3/Frequency_Gomez_IEEETransCircSysI_2024.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_03.pdf"
"paper_04","A High-Reliability, Non-CRP-Discard Arbiter PUF Based on Delay Difference Quantization","Yao Wang; Guangyang Zhang; Xue Mei; Chongyan Gu","2024","72","2","573-585","https://doi.org/10.1109/tcsi.2024.3466972","PUF / hardware security","https://pureadmin.qub.ac.uk/ws/files/626184314/DDQPUF.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_04.pdf"
"paper_05","A Heterogeneous RISC-V Based SoC for Secure Nano-UAV Navigation","Luca Valente; Alessandro Nadalini; Asif Veeran; M. Sinigaglia; Bruno Sa","2024","71","5","2266-2279","https://doi.org/10.1109/tcsi.2024.3359044","RISC-V SoC / secure navigation","https://cris.unibo.it/bitstream/11585/959822/3/SHAHEEN_TCAS_I_2023.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_05.pdf"
"paper_06","Circular Wireless RF Systems With Recyclable and Degradable Components Based on Additively-Manufactured Liquid Metal Interconnects","Xiaochuan Fang; Mahmoud Wagih","2025","72","11","6924-6935","https://doi.org/10.1109/tcsi.2025.3568321","Sustainable RF systems","https://eprints.gla.ac.uk/357298/1/357298.pdf","institutional repository accepted version; CC BY 4.0 page","downloaded_pdf","pdfs/paper_06.pdf"
"paper_07","High-Speed Polynomials Multiplication HW Accelerator for CRYSTALS-Kyber","Abdullah Alhassani; Mohammed Benaissa","2024","71","12","6105-6113","https://doi.org/10.1109/tcsi.2024.3427011","Post-quantum cryptography accelerator","https://eprints.whiterose.ac.uk/id/eprint/214995/7/High-Speed%20Polynomial%20Multiplication%20HW%20accelerator%20for%20CRYSTALS-Kyber%20AAM.pdf","institutional repository accepted manuscript PDF","downloaded_pdf","pdfs/paper_07.pdf"
"paper_08","Multilayer Reflectionless RF Bandpass Filters With Wideband Quasi-Constant Group-Delay Responses","Li Yang; Mohamed Malki; Jose-Maria Munoz-Ferreras; Xi Zhu; Roberto Gomez-Garcia","2024","71","12","6433-6446","https://doi.org/10.1109/tcsi.2024.3401089","RF filters / group-delay control","https://ebuah.uah.es/dspace/bitstream/10017/65203/3/Multilayer_Yang_IEEETransCircSysI_2024.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_08.pdf"
"paper_09","FREYA: A 0.023-mm2/Channel, 20.8-uW/Channel, Event-Driven 8-Channel SoC for Spiking End-to-End Sensing of Time-Sparse Biosignals","Jonah Van Assche; Charlotte Frenkel; Ali Safa; Georges Gielen","2024","72","3","1093-1104","https://doi.org/10.1109/tcsi.2024.3504264","Biomedical event-driven SoC / SNN sensing","https://lirias.kuleuven.be/retrieve/79271a63-05dd-497e-842c-4dac4d71a658","institutional repository PDF","downloaded_pdf","pdfs/paper_09.pdf"
"paper_10","A 0.4-0.9 V Supply Voltage-Flexible Third-Order Passive Delta-Sigma Modulator With Switched-Capacitor Loop Filter Achieving 71.9 dB Peak SNDR at 4 MHz Bandwidth","Jeroen Ponte; Harijot Singh Bindra; Bram Nauta","2025","72","10","5365-5377","https://doi.org/10.1109/tcsi.2025.3536610","ADC / passive delta-sigma modulator","https://ris.utwente.nl/ws/files/482584366/A_0.40.9_V_Supply_Voltage-Flexible_Third-Order_Passive_Modulator_With_Switched-Capacitor_Loop_Filter_Achieving_71.9_dB_Peak_SNDR_at_4_MHz_Bandwidth.pdf","institutional repository PDF","downloaded_pdf","pdfs/paper_10.pdf"
